40542,Ontario,Hamilton,Civil and Biomedical Engineering Co-Op (B.Eng.BME),https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18735&returnto=6690,McMaster University,14-Engineering,University
11462,Ontario,Windsor,Aerospace Engineering (with optional Co-op),http://www.uwindsor.ca/studentrecruitment/471/aerospace-engineering-optional-co-op,University of Windsor,14-Engineering,University
45374,British Columbia,Vancouver,Applied Science for Engineering Diploma,https://langara.ca/programs-and-courses/programs/applied-science-for-engineering/index.html,Langara College,14-Engineering,University
41538,Ontario,Windsor,Automotive Engineering (with optional Co-op),http://www.uwindsor.ca/studentrecruitment/472/automotive-engineering-optional-co-op,University of Windsor,14-Engineering,University
34701,Nova Scotia,Wolfville,Bachelor of Applied Science - 3 Year Program,http://engineering.acadiau.ca/basc.html,Acadia University,14-Engineering,University
28206,Ontario,Waterloo,Bachelor of Applied Science and Bachelor of Software Engineering - Software Engineering,http://ugradcalendar.uwaterloo.ca/page/ENG-Software-Engineering,University of Waterloo,14-Engineering,University
51221,Ontario,Waterloo,Bachelor of Applied Science in Architectural Engineering,http://ugradcalendar.uwaterloo.ca/page/ENG-Architectural-Engineering,University of Waterloo,14-Engineering,University
28166,Ontario,Waterloo,Bachelor of Applied Science in Biomedical Engineering - Biomechanics,http://ugradcalendar.uwaterloo.ca/page/ENG-Biomedical-Engineering,University of Waterloo,14-Engineering,University
51218,Ontario,Waterloo,Bachelor of Applied Science in Biomedical Engineering - Biomedical devices,http://ugradcalendar.uwaterloo.ca/page/ENG-Biomedical-Engineering,University of Waterloo,14-Engineering,University
28224,Ontario,Waterloo,Bachelor of Applied Science in Biomedical Engineering - Biomedical signals,http://ugradcalendar.uwaterloo.ca/page/ENG-Biomedical-Engineering,University of Waterloo,14-Engineering,University
4492,Ontario,Waterloo,Bachelor of Applied Science in Chemical Engineering,http://ugradcalendar.uwaterloo.ca/page/ENG-Chemical-Engineering,University of Waterloo,14-Engineering,University
23956,British Columbia,Vancouver,Bachelor of Applied Science in Chemical Engineering,https://you.ubc.ca/ubc_programs/chemical-engineering/,University of British Columbia,14-Engineering,University
20639,British Columbia,Vancouver,Bachelor of Applied Science in Chemical and Biological Engineering,https://you.ubc.ca/ubc_programs/chemical-biological-engineering/,University of British Columbia,14-Engineering,University
40777,Ontario,Waterloo,Bachelor of Applied Science in Civil Engineering,http://ugradcalendar.uwaterloo.ca/page/ENG-Civil-Engineering,University of Waterloo,14-Engineering,University
