43573,Nova Scotia,Sydney,"Bachelor of Engineering Technology - Major in Chemical","https://www.cbu.ca/academic-programs/program/chemical/","Cape Breton University","15-Engineering Technology",University
50177,Newfoundland and Labrador,St. John's,"Diploma of Technology in Underwater Vehicles","https://www.mi.mun.ca/programsandcourses/programs/underwatervehicles/","Memorial University of Newfoundland","15-Engineering Technology",University
20384,British Columbia,Abbotsford,"Aircraft Structures Technician","https://www.ufv.ca/aerospace/","University of the Fraser Valley","15-Engineering Technology",University
13171,British Columbia,Chilliwack,"Architectural Drafting Technician Certificate","https://www.ufv.ca/drafting/","University of the Fraser Valley","15-Engineering Technology",University
13040,British Columbia,Kamloops,"Architectural and Engineering Technology Diploma","http://www.tru.ca/programs/catalogue/architectural-and-engineering-technology.html","Thompson Rivers University","15-Engineering Technology",University
40371,Ontario,Hamilton,"Automation Engineering Technology Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18458&returnto=6690","McMaster University","15-Engineering Technology",University
45743,British Columbia,Chilliwack,"Automation and Robotics Technician","https://www.ufv.ca/automation/","University of the Fraser Valley","15-Engineering Technology",University
40366,Ontario,Hamilton,"Automotive and Vehicle Engineering Technology Co-op (B.Tech.)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18455&returnto=6690","McMaster University","15-Engineering Technology",University
40365,Ontario,Hamilton,"B.Tech. 1 (B. Tech)","https://academiccalendars.romcmaster.ca/preview_program.php?catoid=32&poid=18456&returnto=6690","McMaster University","15-Engineering Technology",University
40775,Ontario,Waterloo,"Bachelor of Applied Science and Bachelor of Software Engineering","http://ugradcalendar.uwaterloo.ca/group/ENG-BASc-and-BSE-Specific-Degree-Requirements","University of Waterloo","15-Engineering Technology",University
28168,Ontario,Waterloo,"Bachelor of Applied Science in Civil Engineering - Engineering Mechanics","http://ugradcalendar.uwaterloo.ca/page/ENG-Civil-Engineering","University of Waterloo","15-Engineering Technology",University
