8722,Nova Scotia,Halifax,"Engineering Mathematics (MSc)","https://www.dal.ca/academics/graduate_programs/engineering-mathematics.html","Dalhousie University","27-Mathematics and Statistics",University - Master
2471,Newfoundland and Labrador,St. John's,"Master of Arts in Mathematics and Statistics","https://www.mun.ca/become/graduate/programs/mathstats.php","Memorial University of Newfoundland","27-Mathematics and Statistics",University - Master
7620,British Columbia,Victoria,"Master of Arts in Mathematics and Statistics","https://www.uvic.ca/science/math-statistics/future-students/graduate/index.php","University of Victoria","27-Mathematics and Statistics",University - Master
8131,Ontario,Toronto,"Master of Arts in Mathematics and Statistics","http://futurestudents.yorku.ca/graduate/programs/mathematics-and-statistics","York University","27-Mathematics and Statistics",University - Master
21797,Ontario,Toronto,"Master of Mathematical Finance","http://www.sgs.utoronto.ca/prospectivestudents/Pages/Programs/Mathematical-Finance.aspx","University of Toronto","27-Mathematics and Statistics",University - Master
10516,Saskatchewan,Saskatoon,"Master of Mathematics","https://grad.usask.ca/programs/mathematics.php","University of Saskatchewan","27-Mathematics and Statistics",University - Master
30718,Ontario,Windsor,"Master of Mathematics and Statistics (MSc)","http://www1.uwindsor.ca/math/","University of Windsor","27-Mathematics and Statistics",University - Master
4386,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
51017,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Co-operative Program","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics-co-operative-program","University of Waterloo","27-Mathematics and Statistics",University - Master
51268,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Control and Dynamical Systems","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
51267,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Fluid Mechanics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
46031,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Quantum Information","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics-quantum-information","University of Waterloo","27-Mathematics and Statistics",University - Master
51270,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Scientific Computing","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
46032,Ontario,Waterloo,"Master of Mathematics in Applied Mathematics - Water","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-applied-mathematics/master-mathematics-mmath-applied-mathematics-water","University of Waterloo","27-Mathematics and Statistics",University - Master
48062,Ontario,Waterloo,"Master of Mathematics in Biostatistics - Probability Field","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-biostatistics","University of Waterloo","27-Mathematics and Statistics",University - Master
24306,Ontario,Waterloo,"Master of Mathematics in Combinatorics and Optimization","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-combinatorics-and-optimization/master-mathematics-mmath-combinatorics-and-optimization","University of Waterloo","27-Mathematics and Statistics",University - Master
