30332,British Columbia,Cranbrook,"Foundation in Industrial Mechanic (Millwright)","https://cotr.bc.ca/programs/industrial-mechanic-millwright/industrial-mechanic-millwright-foundation/","College of the Rockies","47-Mechanic and Repair Technology",College
13970,Ontario,Toronto,"(Automotive) Motive Power Technician - Technical","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","Centennial College of Applied Arts and Technology","47-Mechanic and Repair Technology",College
39644,Ontario,Toronto,"(Heavy Duty Equipment) Motive Power Technician","https://www.centennialcollege.ca/programs-courses/full-time/heavy-duty-equipment-motive-power-technician/","Centennial College of Applied Arts and Technology","47-Mechanic and Repair Technology",College
39646,Ontario,Toronto,"(Truck and Coach) Motive Power Technician","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","Centennial College of Applied Arts and Technology","47-Mechanic and Repair Technology",College
17431,Ontario,London,"Advanced Diploma in Aviation Technology - Aircraft Maintenance and Avionics","https://www.fanshawec.ca/programs/avi1-aviation-technology-aircraft-maintenance-and-avionics/current","Fanshawe College of Applied Arts and Technology","47-Mechanic and Repair Technology",College
17461,Ontario,London,"Advanced Diploma in Aviation Technology - Aircraft Maintenance and Avionics (Co-op)","https://www.fanshawec.ca/programs/avi2-aviation-technology-aircraft-maintenance-and-avionics-co-op/next","Fanshawe College of Applied Arts and Technology","47-Mechanic and Repair Technology",College
26989,Southport,Science and Technology,"Aircraft Maintenance Engineer","https://me.rrc.mb.ca/catalogue/ProgramInfo.aspx?ProgCode=AIRMF-DP&RegionCode=WPG","Red River College of Applied Arts","47-Mechanic and Repair Technology",College
26989,Winnipeg,Science and Technology,"Aircraft Maintenance Engineer","https://me.rrc.mb.ca/catalogue/ProgramInfo.aspx?ProgCode=AIRMF-DP&RegionCode=WPG","Red River College of Applied Arts","47-Mechanic and Repair Technology",College
24619,Alberta,Calgary,"Aircraft Maintenance Engineers Technology","https://www.sait.ca/programs-and-courses/diplomas/aircraft-maintenance-engineers-technology","Southern Alberta Institute of Technology (SAIT)","47-Mechanic and Repair Technology",College
13878,Ontario,North Bay,"Aircraft Structural Repair Technician (1 year – Ontario College Certificate)","https://www.canadorecollege.ca/programs/aircraft-structural-repair-technician","Canadore College","47-Mechanic and Repair Technology",College
