36570,Nova Scotia,Halifax,"6 Week Flight Attendant Program","http://www.flightattend.com/6-week-flight-attendant-program","Atlantic Flight Attendant Academy","49-Transportation and Materials Moving",Training
50839,Saskatchewan,Saskatoon,"Instrument Rating - Group 1 (Multi-Engine)","https://www.millenniumaviation.ca/courses_offered/details/instrument_rating.html","Millennium Aviation Ltd","49-Transportation and Materials Moving",Training
33807,British Columbia,Langley,"105 Hour Commercial Pilot License Course","http://www.heli-college.com/FLTCRS/br105c.htm","Heli College Canada","49-Transportation and Materials Moving",Training
50636,British Columbia,Kelowna,"115 Flight Hour Advanced Plus Hybrid Training Program","http://okheli.ca/programs-and-fees/","Okanagan Mountain Helicopters","49-Transportation and Materials Moving",Training
43720,British Columbia,Kelowna,"115 Flight Hour Advanced Plus R44 Training Program","http://okheli.ca/programs-and-fees/","Okanagan Mountain Helicopters","49-Transportation and Materials Moving",Training
50637,British Columbia,Kelowna,"115 Flight Hour Advanced Plus Turbine Training Program","http://okheli.ca/programs-and-fees/","Okanagan Mountain Helicopters","49-Transportation and Materials Moving",Training
50362,Nova Scotia,Halifax,"12 Week Flight Attendant & French Immersion Program","http://www.flightattend.com/12-week-flight-attendant-french-immersion-program","Atlantic Flight Attendant Academy","49-Transportation and Materials Moving",Training
50808,Alberta,Sturgeon County,"150 Hour Commercial Course","https://synergyflighttraining.ca/our-courses-1/","Synergy Flight Training Inc.","49-Transportation and Materials Moving",Training
36856,Saskatchewan,Nipawin,"1A Truck Driver Training","https://www.cumberlandcollege.sk.ca/index.php?id=236","Cumberland Regional College","49-Transportation and Materials Moving",Training
43817,British Columbia,Kelowna,"21 Week Heavy Equipment Technician Program","http://www.taylorprotraining.com/course_detail.php?id=26","Taylor Pro Training Ltd.","49-Transportation and Materials Moving",Training
32383,Ontario,South Porcupine,"AZ Truck Driving Program","http://www.northernc.on.ca/trainingdivision/az-driving/","Northern College of Applied Arts and Technology","49-Transportation and Materials Moving",Training
51854,Alberta,Spruce Grove,"Accelerated Private Pilot Course	","https://www.flyefc.ca/courses/accelerated-private-pilot-course","Edmonton Flying Club","49-Transportation and Materials Moving",Training
43502,British Columbia,Abbotsford,"Accelerated Professional Pilot Program","https://www.coastalpacific.com/accelerated-professional-pilot-trai","Coastal Pacific Aviation","49-Transportation and Materials Moving",Training
43483,British Columbia,Kelowna,"Advanced Open Water","http://www.divingdynamics.com/discover-scuba/advanced-open-water/","Diving Dynamics","49-Transportation and Materials Moving",Training
50320,Alberta,Grande Prairie,"Aerial Application Training","http://advancedheliflight.com/page16.html","Advanced Heli-Flight Ltd","49-Transportation and Materials Moving",Training
50320,New Brunswick,Lincoln,"Aerial Application Training","http://advancedheliflight.com/page16.html","Advanced Heli-Flight Ltd","49-Transportation and Materials Moving",Training
47670,Alberta,Calgary,"Air Transport Pilot License Helicopter","https://www.lrhelicopters.com/air-transport-pilot-license-helicopter-calgary-alberta-canada/","LR Helicopters Inc.","49-Transportation and Materials Moving",Training
15546,British Columbia,Dawson Creek,"Aircraft Maintenance Technician - Basic Training","https://www.nlc.bc.ca/Programs/All-Programs-Alphabetical/Aircraft-Maintenance-Technician-Basic-Training","Northern Lights College","49-Transportation and Materials Moving",Training
49035,British Columbia,Kamloops,"Airline Pilot Program (Diploma)","http://www.cfc.aero/index.php/flight-training/professional/diploma-atpl","Canadian Flight Centre","49-Transportation and Materials Moving",Training
